Draw Date ,s0,s0+,s1,s1+,s2,s2+,s3,s3+,s4,s4+,s5,s5+,s6
2018-08-04,1110,176,1059,140,351,42,43,4,1,0,0,0,1
2018-08-01,1129,162,1037,138,381,26,47,4,2,0,0,0,1
2018-07-28,1114,156,1067,125,363,32,63,5,1,0,0,0,1
2018-07-25,1076,173,1092,150,358,24,45,5,2,1,0,0,1
2018-07-21,1099,194,1065,125,348,35,49,5,5,1,0,0,1
2018-07-18,1117,186,1031,137,364,34,49,5,3,0,0,0,1
2018-07-14,1051,199,1061,158,373,31,43,5,5,0,0,0,1
2018-07-11,1112,183,1027,129,371,34,67,1,2,0,0,0,1
2018-07-07,1103,170,1057,153,347,35,56,4,1,0,0,0,1
2018-07-04,1127,179,1023,142,365,33,50,3,4,0,0,0,1
2018-06-30,1136,190,1021,143,352,27,51,6,0,0,0,0,1
2018-06-27,1083,192,1103,151,320,33,39,3,2,0,0,0,1
2018-06-23,1095,182,1091,143,337,31,42,2,3,0,0,0,1
2018-06-20,1120,172,1071,145,328,40,46,3,1,0,0,0,1
2018-06-16,1121,185,1045,129,353,39,50,0,4,0,0,0,1
2018-06-13,1093,188,1086,140,331,26,57,3,2,0,0,0,1
2018-06-09,1096,171,1064,135,368,32,53,3,4,0,0,0,1
2018-06-06,1074,187,1037,141,402,34,49,2,0,0,0,0,1
2018-06-02,1145,169,1038,129,351,28,63,2,1,0,0,0,1
2018-05-30,1047,179,1108,147,361,32,44,3,5,0,0,0,1
2018-05-26,1167,169,1015,124,359,34,50,4,4,0,0,0,1
2018-05-23,1121,171,1042,148,345,34,54,8,1,2,0,0,1
2018-05-19,1114,185,1056,131,330,45,58,3,4,0,0,0,1
2018-05-16,1141,168,1043,129,372,32,34,3,3,1,0,0,1
2018-05-12,1127,189,1055,142,320,26,62,3,1,1,0,0,1
2018-05-09,1090,175,1077,124,364,44,39,7,5,1,0,0,1
2018-05-05,1063,194,1072,144,364,33,48,5,2,1,0,0,1
2018-05-02,1073,174,1085,143,371,29,42,9,0,0,0,0,1
2018-04-28,1134,159,1047,148,348,38,44,4,4,0,0,0,1
2018-04-25,1104,175,1063,141,363,36,43,0,1,0,0,0,1
2018-04-21,1063,173,1085,142,371,26,62,2,2,0,0,0,1
2018-04-18,1083,162,1101,142,340,38,50,5,3,2,0,0,1
2018-04-14,1092,175,1068,144,350,37,52,6,2,0,0,0,1
2018-04-11,1104,178,1053,151,342,39,56,2,1,0,0,0,1
2018-04-07,1112,167,1070,159,334,31,47,5,1,0,0,0,1
2018-04-04,1091,203,1064,127,350,30,49,9,3,0,0,0,1
2018-03-31,1087,188,1065,134,367,31,44,4,6,0,0,0,1
2018-03-28,1123,156,1070,155,331,30,53,5,3,0,0,0,1
2018-03-24,1082,196,1096,129,336,36,44,3,4,0,0,0,1
2018-03-21,1104,187,1057,151,339,33,45,6,4,0,0,0,1
2018-03-17,1131,161,1049,136,359,41,44,3,2,0,0,0,1
2018-03-14,1137,197,1040,140,330,27,49,4,2,0,0,0,1
2018-03-10,1084,187,1102,138,317,44,45,4,5,0,0,0,1
2018-03-07,1138,171,1048,135,346,28,51,7,2,0,0,0,1
