DrawNumber,DrawDate,DrawTimes,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N40,N41,N42,N43,N44,N45,N46,N47,N48,N49
105,1993-01-27,28,5,1,3,5,4,1,5,3,4,2,4,2,4,3,2,0,3,3,1,1,3,6,6,6,10,2,5,3,4,3,2,4,5,4,5,6,4,2,5,5,3,3,5,3,1,2,4,5,2
106,1993-01-30,30,5,1,3,5,4,1,5,3,4,2,4,3,4,4,2,2,3,3,2,1,3,6,6,6,11,3,5,3,5,3,2,4,5,5,5,6,4,2,6,5,3,3,6,3,1,2,4,6,2
107,1993-02-03,14,2,1,0,1,3,0,1,2,2,0,2,0,1,1,1,1,3,1,1,0,2,3,1,3,6,2,4,3,3,1,0,2,3,2,3,4,2,2,3,3,0,1,4,1,2,2,3,1,1
108,1993-02-06,20,3,1,2,4,4,0,1,2,3,0,3,1,1,1,1,1,4,1,2,0,2,5,3,4,8,3,4,3,4,3,2,2,3,2,3,6,4,2,3,4,0,2,4,2,2,3,4,3,1
109,1993-02-10,24,3,1,3,4,4,1,2,2,4,1,4,3,1,4,1,1,4,2,2,2,2,5,5,5,8,3,5,3,4,4,2,3,3,2,4,6,4,2,3,4,1,2,4,3,3,3,4,3,1
110,1993-02-13,15,2,1,1,3,2,0,1,2,2,0,2,1,1,3,0,1,3,1,2,1,2,2,1,3,5,2,3,2,3,3,1,2,2,1,4,3,3,2,3,2,0,1,4,3,2,2,3,2,1
111,1993-02-17,14,2,1,2,3,1,0,1,2,2,0,2,1,1,3,0,1,3,1,1,1,2,2,1,2,5,2,3,2,2,3,2,1,1,1,4,2,3,1,3,1,0,2,4,3,2,2,3,2,1
112,1993-02-20,25,5,1,5,5,4,2,2,2,4,0,3,2,1,4,1,1,4,1,2,1,3,5,4,5,9,3,4,3,4,4,3,2,3,2,5,6,5,2,3,4,0,3,4,4,3,3,4,5,1
113,1993-02-24,14,3,0,3,3,2,1,2,2,0,0,2,1,1,3,0,1,3,1,1,2,1,2,0,2,3,2,3,1,2,3,2,1,1,1,4,2,4,2,3,1,0,2,4,3,2,2,3,2,1
114,1993-02-27,16,3,0,3,3,2,1,2,2,1,0,2,1,2,3,0,1,3,1,1,2,1,2,2,3,4,2,3,2,2,3,2,1,1,2,5,2,4,2,4,1,0,2,4,3,2,2,4,2,2
115,1993-03-03,29,5,1,5,5,5,2,2,3,4,0,3,2,2,5,1,1,5,2,2,2,3,5,6,6,9,3,5,3,5,4,3,3,3,3,7,7,5,3,4,4,2,4,4,4,3,3,5,5,2
116,1993-03-06,18,3,0,3,3,2,1,2,3,2,0,2,1,2,4,0,1,4,1,1,2,1,2,3,3,5,2,3,2,3,3,2,1,1,2,6,3,4,2,4,1,1,3,4,3,3,2,4,2,2
117,1993-03-10,10,3,0,3,2,1,2,1,2,1,0,1,1,1,3,0,0,2,0,1,2,1,0,2,1,2,0,1,0,1,2,3,0,0,1,5,1,2,1,2,0,1,3,0,2,3,2,1,2,1
118,1993-03-13,25,5,1,3,3,4,2,2,4,3,0,2,2,2,4,2,1,4,1,2,2,3,3,3,4,8,2,4,3,4,3,4,2,3,3,7,5,4,3,6,4,1,4,5,3,4,3,4,3,2
119,1993-03-17,22,4,2,4,3,2,2,2,4,3,0,2,2,2,4,1,1,5,1,1,2,2,2,3,4,6,2,3,2,3,3,4,1,1,2,7,4,4,2,6,2,1,4,5,4,3,3,4,2,2
120,1993-03-20,13,3,1,4,2,1,2,1,2,2,0,2,2,1,3,2,0,4,0,2,2,1,0,2,2,2,0,1,0,1,2,4,0,0,1,5,2,2,1,3,1,1,3,1,3,3,3,1,2,1
121,1993-03-24,10,3,1,3,0,2,2,1,2,2,0,1,1,1,1,2,0,4,0,1,1,0,0,2,2,2,0,0,0,2,0,3,0,0,1,4,2,1,1,4,1,1,3,1,1,1,2,1,2,1
122,1993-03-27,17,3,1,4,2,2,2,2,2,2,0,2,2,1,4,2,2,5,0,2,2,1,2,2,2,2,2,1,1,3,2,4,0,0,2,6,3,3,1,5,1,1,3,4,3,3,3,1,3,2
123,1993-03-31,13,3,1,3,1,2,2,1,2,3,0,2,1,1,2,2,1,5,0,1,1,2,2,2,2,2,1,0,0,2,0,3,0,0,3,5,3,1,1,4,1,1,3,2,2,1,2,1,3,1
124,1993-04-03,24,4,1,4,3,3,2,2,4,4,0,4,2,2,4,3,2,9,2,2,2,2,4,2,3,3,3,2,1,4,3,4,0,1,4,6,5,4,1,6,2,1,3,7,4,3,4,4,3,2
125,1993-04-07,6,0,2,2,0,2,0,0,0,3,0,2,0,0,0,2,1,5,2,1,0,1,2,0,2,0,1,0,0,1,0,0,0,0,2,1,2,0,0,2,0,0,0,2,1,0,1,1,1,0
126,1993-04-10,14,2,2,3,0,3,2,1,2,4,0,2,1,1,1,4,1,6,2,1,1,1,2,2,3,1,1,0,0,3,0,2,0,0,3,5,3,2,1,5,1,2,3,3,1,1,2,2,1,1
127,1993-04-14,27,4,2,5,3,4,2,2,4,4,0,4,2,2,4,4,2,9,3,2,2,2,4,2,4,3,3,2,1,5,3,5,0,2,5,7,5,5,2,7,2,2,4,8,4,4,4,4,3,2
128,1993-04-17,14,1,3,3,0,2,1,0,2,4,0,2,2,1,1,4,1,6,2,1,0,1,2,2,2,1,1,0,0,4,0,3,0,2,4,4,3,1,1,5,1,2,2,4,1,2,2,1,1,2
129,1993-04-21,24,4,3,7,2,3,2,2,2,4,0,3,3,1,4,4,2,8,2,2,2,3,3,2,3,2,2,1,2,5,2,5,0,2,4,7,3,4,2,6,1,2,4,6,3,4,3,2,4,3
130,1993-04-24,23,4,3,7,2,3,2,1,2,4,0,4,3,1,3,4,1,8,2,2,2,3,2,2,3,2,1,2,1,4,2,5,0,2,4,7,3,3,2,6,2,2,4,4,3,5,3,2,5,2
131,1993-04-28,22,4,3,6,1,3,2,1,2,4,0,4,3,1,3,4,1,7,2,1,2,4,2,2,3,2,2,1,1,4,2,4,0,2,4,6,3,3,2,7,2,2,4,4,3,4,2,2,5,2
132,1993-05-01,16,2,3,4,0,2,1,0,1,4,0,4,2,0,2,4,1,6,2,1,0,3,3,0,3,1,2,1,1,4,1,3,0,2,3,3,2,2,1,6,2,1,2,4,1,4,2,2,3,1
133,1993-05-05,16,2,3,4,0,2,1,0,2,3,0,4,3,0,1,4,1,6,2,1,0,3,4,0,3,0,2,1,1,4,1,3,0,2,3,2,2,3,1,6,2,1,2,4,1,3,2,2,4,1
